Google maps href,empresa_nombre_bruto,Estrella,Reseña,categoria_sugerida,direccion_bruta,Sitio Web,telefono_bruto
https://www.google.com/maps/place/HIDRORED/data=!4m7!3m6!1s0x8f5674aa4f30435d:0x6e48dbb05a3c5a8!8m2!3d21.0036832!4d-89.6954237!16s%2Fg%2F11cp5f899g!19sChIJXUMwT6p0Vo8RqMWjBbuN5AY?authuser=0&hl=es&rclk=1,HIDRORED,"4,8",-12,Empresa constructora,·,Cómo llegar,999 338 3771
https://www.google.com/maps/place/SB+Construtora/data=!4m7!3m6!1s0x40270ee5b6dc1649:0x6c80c188da9fffdf!8m2!3d21.033943!4d-89.6710411!16s%2Fg%2F11tx2ytxn3!19sChIJSRbctuUOJ0AR3_-f2ojBgGw?authuser=0&hl=es&rclk=1,SB Construtora,"4,8",-23,Empresa de construcción,C. 57,Cómo llegar,999 418 7771
https://www.google.com/maps/place/CYCA+CONSTRUCTORA/data=!4m7!3m6!1s0x8f560b2b27d2fa21:0xe3fbe1118cf3ec51!8m2!3d20.9906359!4d-89.7252707!16s%2Fg%2F11p6820g7g!19sChIJIfrSJysLVo8RUezzjBHh--M?authuser=0&hl=es&rclk=1,CYCA CONSTRUCTORA,"3,9",-9,Empresa constructora,C. 83 MZ II entre 114 y 112,Cómo llegar,999 757 7908
"https://www.google.com/maps/place/Gicsa+%7C+Grupo+Constructor,+Renta+y+Venta+de+Maquinaria,+Venta+de+Agregados/data=!4m7!3m6!1s0x8f5671369145314f:0xff670be25023c2d6!8m2!3d21.0188888!4d-89.6697531!16s%2Fg%2F1tg3c4h8!19sChIJTzFFkTZxVo8R1sIjUOILZ_8?authuser=0&hl=es&rclk=1","Gicsa | Grupo Constructor, Renta y Venta de Maquinaria, Venta de Agregados","4,1",-10,Empresa constructora,C. 11 C.48,Sitio web,951 812 8803
https://www.google.com/maps/place/Constructora+AMR/data=!4m7!3m6!1s0x8f5673ec8a0fd4cf:0x40db55aa3ae1d008!8m2!3d20.9822767!4d-89.6751139!16s%2Fg%2F11sdn8qbbj!19sChIJz9QPiuxzVo8RCNDhOqpV20A?authuser=0&hl=es&rclk=1,Constructora AMR,,,Empresa constructora,C. 3-K 332-x 22 y 26,Cómo llegar,999 469 8150
https://www.google.com/maps/place/CONSTRUCTORA+PARMOL+S.A.+DE+C.V./data=!4m7!3m6!1s0x8f5675dd983e2685:0x21b9e1512d36b030!8m2!3d21.0233963!4d-89.6610604!16s%2Fg%2F11rcndg1dq!19sChIJhSY-mN11Vo8RMLA2LVHhuSE?authuser=0&hl=es&rclk=1,CONSTRUCTORA PARMOL S.A. DE C.V.,"4,1",-15,Empresa de construcción,·,Sitio web,999 913 9006
https://www.google.com/maps/place/TARAN/data=!4m7!3m6!1s0x8f5675fe47f50083:0xf9828562f6a07bc9!8m2!3d21.0287235!4d-89.6372698!16s%2Fg%2F11j9cm9yp3!19sChIJgwD1R_51Vo8RyXug9mKFgvk?authuser=0&hl=es&rclk=1,TARAN,"4,2",-17,Empresa de construcción,C. 26 337,Sitio web,999 291 6823
https://www.google.com/maps/place/Micra+Construcciones/data=!4m7!3m6!1s0x8f56745d72fa8459:0x28b20764ed43b886!8m2!3d21.0237899!4d-89.6553945!16s%2Fg%2F1q2vxhwdl!19sChIJWYT6cl10Vo8RhrhD7WQHsig?authuser=0&hl=es&rclk=1,Micra Construcciones,"4,3",-4,Constructor de casas personalizadas,"CALLE 69, 403 POR 56 Y 58",Cómo llegar,999 252 0460
https://www.google.com/maps/place/Urbex+Constructora/data=!4m7!3m6!1s0x8f567719201d2579:0x924438d54cf11d03!8m2!3d21.0329923!4d-89.6189723!16s%2Fg%2F11gbldmc49!19sChIJeSUdIBl3Vo8RAx3xTNU4RJI?authuser=0&hl=es&rclk=1,Urbex Constructora,"4,6",-39,Empresa de construcción,·,Sitio web,999 292 1500
https://www.google.com/maps/place/Constructores+Logar+S.A+de+C.V/data=!4m7!3m6!1s0x8f56755ce0459d21:0xc350560254bc3e32!8m2!3d21.0022598!4d-89.6263079!16s%2Fg%2F11lh67czzm!19sChIJIZ1F4Fx1Vo8RMj68VAJWUMM?authuser=0&hl=es&rclk=1,Constructores Logar S.A de C.V,"4,9",-112,Empresa de construcción,·,Sitio web,999 289 5006
https://www.google.com/maps/place/M%C3%A1ximo+Nivel+Servicios+y+Construcciones./data=!4m7!3m6!1s0x8f5673121e533991:0x5e5674c3c3cd219b!8m2!3d20.9959407!4d-89.6552878!16s%2Fg%2F11s0py59ys!19sChIJkTlTHhJzVo8RmyHNw8N0Vl4?authuser=0&hl=es&rclk=1,Máximo Nivel Servicios y Construcciones.,"4,9",-12,Empresa constructora,C. 62 & Calle 13,Sitio web,999 331 3805
https://www.google.com/maps/place/Constructora+Mez%26Rod/data=!4m7!3m6!1s0x8f56771ca6999e91:0x1568a9d5da81aec9!8m2!3d21.0532385!4d-89.630461!16s%2Fg%2F11t9jv1jlw!19sChIJkZ6Zphx3Vo8Rya6B2tWpaBU?authuser=0&hl=es&rclk=1,Constructora Mez&Rod,"4,9",-55,Constructor,"Tablajero, Av. Temozon 18054-Local 4",Sitio web,999 901 3690
https://www.google.com/maps/place/ARm/data=!4m7!3m6!1s0x8f56745f967dd349:0x5f88a505c92096b8!8m2!3d21.0237496!4d-89.6617731!16s%2Fg%2F1ptwybd39!19sChIJSdN9ll90Vo8RuJYgyQWliF8?authuser=0&hl=es&rclk=1,ARm,"4,9",-7,Empresa constructora,·,Cómo llegar,999 927 4047
"https://www.google.com/maps/place/Grupo+Constructor+Dzitia,+S.A.+De+C.V./data=!4m7!3m6!1s0x8f5674225eb210f5:0x5b74a5bbe012d1e!8m2!3d21.0170421!4d-89.6446241!16s%2Fg%2F1tsjfpyk!19sChIJ9RCyXiJ0Vo8RHi0BvltKtwU?authuser=0&hl=es&rclk=1","Grupo Constructor Dzitia, S.A. De C.V.","4,6",-10,Empresa constructora,C. 13 No 302-x 34 y 36,Cómo llegar,999 981 6997
https://www.google.com/maps/place/Amavita+Caucel/data=!4m7!3m6!1s0x8f560b45435b030d:0x7ad6ea93cf5d54f9!8m2!3d21.0174717!4d-89.7249996!16s%2Fg%2F11pds0tc4z!19sChIJDQNbQ0ULVo8R-VRdz5Pq1no?authuser=0&hl=es&rclk=1,Amavita Caucel,"4,3",-87,Condominio,·,Sitio web,999 944 9952
